date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:47:50	1699/1699	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2031%20Jan%202025%2008:47:50%20GMT	https://peacefulqode.co.in/robots.txt		(from )
10:47:50	93792/93792	---M-Z	200	added ('OK')	text/html	etag:%223a01707-16c89-62b1bf1da7080-gzip%22	https://peacefulqode.co.in/themes/agritex/	C:/Users/begat/Desktop/New%20folder/Smartel/peacefulqode.co.in/themes/agritex/index.html	(from )
10:47:50	8596/8596	---M--	200	added ('OK')	image/png	etag:%223a00e55-2194-62923f62cf6c0%22	https://peacefulqode.co.in/themes/agritex/image/favicon/favicon.png	C:/Users/begat/Desktop/New%20folder/Smartel/peacefulqode.co.in/themes/agritex/image/favicon/favicon.png	(from https://peacefulqode.co.in/themes/agritex/)
10:47:51	232803/232803	---M-Z	200	added ('OK')	text/css	etag:%223a00be5-38d63-6254635187e40-gzip%22	https://peacefulqode.co.in/themes/agritex/css/bootstrap.min.css	C:/Users/begat/Desktop/New%20folder/Smartel/peacefulqode.co.in/themes/agritex/css/bootstrap.min.css	(from https://peacefulqode.co.in/themes/agritex/)
10:47:52	66888/66888	---M-Z	200	added ('OK')	text/css	etag:%223a018d8-10548-62b182f4c4140-gzip%22	https://peacefulqode.co.in/themes/agritex/rev/css/rs6.css	C:/Users/begat/Desktop/New%20folder/Smartel/peacefulqode.co.in/themes/agritex/rev/css/rs6.css	(from https://peacefulqode.co.in/themes/agritex/)
10:47:53	24714/24714	---M-Z	200	added ('OK')	text/css	etag:%223a00c04-608a-629ff1865fbc0-gzip%22	https://peacefulqode.co.in/themes/agritex/css/animations.min.css	C:/Users/begat/Desktop/New%20folder/Smartel/peacefulqode.co.in/themes/agritex/css/animations.min.css	(from https://peacefulqode.co.in/themes/agritex/)
10:47:53	4744/4744	---M-Z	200	added ('OK')	text/css	etag:%223a00bff-1288-60af06fa86680-gzip%22	https://peacefulqode.co.in/themes/agritex/css/owl.carousel.css	C:/Users/begat/Desktop/New%20folder/Smartel/peacefulqode.co.in/themes/agritex/css/owl.carousel.css	(from https://peacefulqode.co.in/themes/agritex/)
10:47:54	8364/8364	---M-Z	200	added ('OK')	text/css	etag:%223a00bf6-20ac-62892558e7680-gzip%22	https://peacefulqode.co.in/themes/agritex/css/magnific-popup.min.css	C:/Users/begat/Desktop/New%20folder/Smartel/peacefulqode.co.in/themes/agritex/css/magnific-popup.min.css	(from https://peacefulqode.co.in/themes/agritex/)
10:47:54	3524/3524	---M-Z	200	added ('OK')	text/css	etag:%223a00c6b-dc4-62847b1709b40-gzip%22	https://peacefulqode.co.in/themes/agritex/font/flaticons_1/flaticon_agriculture.css	C:/Users/begat/Desktop/New%20folder/Smartel/peacefulqode.co.in/themes/agritex/font/flaticons_1/flaticon_agriculture.css	(from https://peacefulqode.co.in/themes/agritex/)
10:47:54	1252/1252	---M-Z	200	added ('OK')	text/css	etag:%223a00c51-4e4-62847b1709b40-gzip%22	https://peacefulqode.co.in/themes/agritex/font/flaticons_2/flaticon_mycollection.css	C:/Users/begat/Desktop/New%20folder/Smartel/peacefulqode.co.in/themes/agritex/font/flaticons_2/flaticon_mycollection.css	(from https://peacefulqode.co.in/themes/agritex/)
10:47:55	51248/51248	---M-Z	200	added ('OK')	text/css	etag:%223a00c5e-c830-62847b17fdd80-gzip%22	https://peacefulqode.co.in/themes/agritex/font/ionicons/ionicons.min.css	C:/Users/begat/Desktop/New%20folder/Smartel/peacefulqode.co.in/themes/agritex/font/ionicons/ionicons.min.css	(from https://peacefulqode.co.in/themes/agritex/)
10:47:55	16405/16405	---M-Z	200	added ('OK')	text/css	etag:%223a00ce7-4015-62847b17fdd80-gzip%22	https://peacefulqode.co.in/themes/agritex/font/themify-icons/themify-icons.css	C:/Users/begat/Desktop/New%20folder/Smartel/peacefulqode.co.in/themes/agritex/font/themify-icons/themify-icons.css	(from https://peacefulqode.co.in/themes/agritex/)
10:47:56	102025/102025	---M-Z	200	added ('OK')	text/css	etag:%223a00d00-18e89-60b1e28481140-gzip%22	https://peacefulqode.co.in/themes/agritex/font/font-awesome/css/all.min.css	C:/Users/begat/Desktop/New%20folder/Smartel/peacefulqode.co.in/themes/agritex/font/font-awesome/css/all.min.css	(from https://peacefulqode.co.in/themes/agritex/)
10:47:56	163314/163314	---M-Z	200	added ('OK')	text/css	etag:%223a00bfb-27df2-62b16a83b5700-gzip%22	https://peacefulqode.co.in/themes/agritex/css/style.css	C:/Users/begat/Desktop/New%20folder/Smartel/peacefulqode.co.in/themes/agritex/css/style.css	(from https://peacefulqode.co.in/themes/agritex/)
10:47:56	14268/14268	---M--	200	added ('OK')	image/png	etag:%223a00ed9-37bc-62882cf79f600%22	https://peacefulqode.co.in/themes/agritex/image/logo/logo-1.png	C:/Users/begat/Desktop/New%20folder/Smartel/peacefulqode.co.in/themes/agritex/image/logo/logo-1.png	(from https://peacefulqode.co.in/themes/agritex/)
10:47:57	93792/93792	---M-Z	200	added ('OK')	text/html	etag:%223a01707-16c89-62b1bf1da7080-gzip%22	https://peacefulqode.co.in/themes/agritex/index.html	C:/Users/begat/Desktop/New%20folder/Smartel/peacefulqode.co.in/themes/agritex/index-2.html	(from https://peacefulqode.co.in/themes/agritex/)
10:47:57	100301/100301	---M-Z	200	added ('OK')	text/html	etag:%223a01703-185f6-62b1a00925cc0-gzip%22	https://peacefulqode.co.in/themes/agritex/index-2.html	C:/Users/begat/Desktop/New%20folder/Smartel/peacefulqode.co.in/themes/agritex/index-3.html	(from https://peacefulqode.co.in/themes/agritex/)
10:47:58	123415/123415	---M-Z	200	added ('OK')	text/html	etag:%223a01705-1e040-62b1a00fd2c80-gzip%22	https://peacefulqode.co.in/themes/agritex/index-3.html	C:/Users/begat/Desktop/New%20folder/Smartel/peacefulqode.co.in/themes/agritex/index-4.html	(from https://peacefulqode.co.in/themes/agritex/)
